Titel;Locatie;Uren;Duur;Link
Testcoördinator Interceptie PVI;Odijk;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/testcoordinator-interceptie-pvi/
Test Automation Engineer Team HODOR;Utrecht en thuiswerken;40 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/test-automation-engineer-team-hodor/
(Technisch) Applicatiebeheerder Identity Management;Den Haag;36 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/technisch-applicatiebeheerder-identity-management/
Backend Developer Sr.;Amsterdam;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/backend-developer-sr/
Test automatiseerder GREAT;Rotterdam;36 u p/w;;https://www.bluetrail.nl/opdrachten/Interim/test-automatiseerder-great/
Java Developer;Zwolle;36 u p/w;36 maanden;https://www.bluetrail.nl/opdrachten/Interim/java-developer-2/
Testanalist – Transitieaanvraag;Leeuwarden;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/testanalist-transitieaanvraag/
Managementassistent, Sr.;Amsterdam;max. 32 u p/w;3 maanden;https://www.bluetrail.nl/opdrachten/Interim/managementassistent-sr/
Applicatiespecialist IAM;Amsterdam;32 - 36 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/applicatiespecialist-iam/
Service Level Manager;Den Haag;36 u p/w;3 maanden;https://www.bluetrail.nl/opdrachten/Interim/service-level-manager/
Projectmanager B;BReda;32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectmanager-b/
Bedrijfsarchitect;Utrecht;24 - 36 u p/w;36 maanden;https://www.bluetrail.nl/opdrachten/Interim/bedrijfsarchitect/
Werkplek Specialist Sr.;Den Haag;36 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/werkplek-specialist-sr/
Exchange Beheerder 2fte;Den Haag;36 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/exchange-beheerder-2fte/
Projectmanager;Breda;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectmanager-2/
ICT-Specialist Sr.;Rotterdam;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/ict-specialist-sr/
